sp_brut;sp_clean
Arthopyrenia punctifornis;Arthopyrenia punctiformis
Hypotrachyna revoluta (Flörke) Hale;Hypotrachyna revoluta
Lecanora conizaeoides Cromb.;Lecanora conizaeoides
Lecanora expallens Ach.;Lecanora expallens
Melanelia sp 1;Melanelia sp
Melanelixia fuliginosa, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch subsp Glabratula;Melanelixia fuliginosa
Melanelixia subaurifera, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch;Melanelixia subaurifera
Melanohalea elegantula, A. Crespo, Davakar, D. Hawksw. & Lumbsch;Melanohalea elegantula
Melanohalea exasperatula (De Not.) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch;Melanohalea exasperatula
Melanohalea laciniatula (H. Olivier) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch;Melanohalea laciniatula
Non-identified lichen sp 1;Non-identified lichen sp1
Non-identified lichen sp 2;Non-identified lichen sp2
Parmelia sulcata Taylor;Parmelia sulcata
Pertusaria albescens& Werner;Pertusaria albescens
Pertusaria hemisphaerica (Flörke) Erichsen;Pertusaria hemisphaerica
Pertusaria sp 1;Pertusaria sp
Physcia aipoliaürnr.;Physcia aipolia
Physcia caesiaürnr.;Physcia caesia
Pleurosticta acetabulum& Lumbsch;Pleurosticta acetabulum
Punctelia ulophylla& Aptroot, comb. ined.;Punctelia ulophylla
